item,itemdescr,areacity,total_semanas,semanas_con_ventas,porcentaje_semanas_con_ventas,max_semanas_consecutivas,ventanas_12semanas_validas,media_ventas,desv_estandar,coef_variacion
4405,ZHUMIR AGUARDIENTE 125CCX12,CUENCA,200,176,88.0,53,131,4072.49,2204.3965160332423,0.5412896080857761
4483,VENETTO CEREZA 1500CCX6,AMBATO,200,193,96.5,130,131,35.05,32.30130603952875,0.9215779183888374
4411,ZH CANUTO CANA SELECTA 700CCX6,QUITO,200,191,95.5,82,130,103.16,120.1177161314817,1.1643826689752006
3362,AGUA VIVANT 6 LITROS X 4,ESMERALDAS,200,181,90.5,103,129,417.44,460.92471659899,1.104169980354039
4394,ZHUMIR SECO EXTRA 700CCX12 N,IBARRA,200,161,80.5,132,129,28.71,29.079096776666457,1.0128560354115799
4418,WHISKY CUNINGHAM 750CCX6,IBARRA,200,161,80.5,124,129,55.535,53.66590090176434,0.9663437634242251
4281,FLOYD AGUA TONICA 1500CC X 6,IBARRA,200,166,83.0,126,129,52.585,50.89631567951402,0.967886577531882
4392,ZHUMIR SECO EXTRA 700CCX12 N#,QUITO,200,193,96.5,103,129,828.15,764.1804540366485,0.9227560877095315
4405,ZHUMIR AGUARDIENTE 125CCX12,QUITO,200,162,81.0,61,128,42.6,34.179690699030715,0.8023401572542421
4347,ZHUMIR RON 6 RESERVA 700CCX12,CUENCA,200,194,97.0,81,128,15.015,13.507666723069072,0.8996115033679035
4508,ZHUMIR DURAZNO GR 700CCX12 NG,MILAGRO,200,189,94.5,117,127,156.595,164.30361947278973,1.04922647257441
3856,VIVANT AGUA 1 LITRO,IBARRA,200,160,80.0,134,127,779.95,580.3654432671655,0.7441059596989107
4356,ZHUMIR TACAO 700CCX12,GUAYAQUIL,200,178,89.0,80,126,24.08,27.410770725369872,1.1383210434123703
3682,VIVANT LIPOTERMICA 500X40,CUENCA,200,162,81.0,94,126,862.455,555.2856189096195,0.6438430050375028
4516,SWITCH BONGO BONGO X6 NG,IBARRA,200,184,92.0,91,125,5093.585,3432.1832910688877,0.6738246816473834
4405,ZHUMIR AGUARDIENTE 125CCX12,AZOGUES,200,172,86.0,53,125,2471.485,1399.5472310841017,0.5662778576783195
4281,FLOYD AGUA TONICA 1500CC X 6,RIOBAMBA,200,192,96.0,41,124,55.525,54.11303426520208,0.9745706306204788
